ID,NOMBRE,Descripcion,Codigo
1,GUARDACANTO,Mate 6mm,GAM6
2,GUARDACANTO,Mate 9mm,GAM9
3,GUARDACANTO,Mate 12mm,GAM12
4,GUARDACANTO,Brillante 6mm,GAB6
5,GUARDACANTO,Brillante 9mm,GAB9
6,GUARDACANTO,Brillante 12mm,GAB12
7,GUARDACANTO,Oro Mate 6mm,GAOM6
8,GUARDACANTO,Oro Mate 9mm,GAOM9
9,GUARDACANTO,Oro Mate 12mm,GAOM12
10,GUARDACANTO,Oro Brillante 6mm,GAOB6
11,GUARDACANTO,Oro Brillante 9mm,GAOB9
12,GUARDACANTO,Oro Brillante 12mm,GAOB12
13,GUARDACANTO,6mm,GAST6
14,GUARDACANTO,9mm,GAST9
15,GUARDACANTO,12mm,GAST12
16,GUARDACANTO,PLUS Mate 9mm,GAMP9
17,GUARDACANTO,PLUS Mate 12mm,GAMP12
18,GUARD. ESCALERA,Sin tratamiento,GAEST
19,GUARDACANTO,PLUS Brillante 9mm,GABP9
20,GUARDACANTO,PLUS Brillante 12mm,GABP12
21,GUARD. ESCALERA,Mate,GAEM
22,GUARDACANTO,PLUS Oro Mate 9mm,GAOMP9
23,GUARDACANTO,PLUS Oro Mate 12mm,GAOMP12
24,GUARD. ESCALERA,Sin Tratamiento,GAESTII
25,GUARDACANTO,PLUS Oro Brillante 9mm,GAOBP9
26,GUARDACANTO,PLUS Oro Brillante 12mm,GAOBP12
27,GUARD. ESCALERA,Mate,GAEMII
28,LISTEL,Mate 10x10mm,LAOM10X10
29,LISTEL,Mate 10x20mm,LAOM10X20
30,LISTEL,Brillante 29mm,LISTELO29M
31,LISTEL,Brillante 10x10mm,LAB10X10
32,LISTEL,Brillante 10x20mm,LAB10X20
33,LISTEL,Oro Brillante 29mm,LISTELO29B
34,LISTEL,Oro Mate 10x10mm,LAOM10X10
35,LISTEL,Oro Mate 10x20mm,LAOM10X20
36,LISTEL,Mate 11mm,L11M
37,LISTEL,Oro Brillante 10x10mm,LAOB10X10
38,LISTEL,Oro Brillante 10x20mm,LAOB10X20
39,LISTEL,Brillante 11mm,L11B
40,UTQUADRA,Mate 10x10mm,QUADRA10X10M
41,TAPACANTO,Mate 16mm,TAPAC16M
42,LISTEL,11mm,L11ST
43,UTQUADRA,Brillante 10x10mm,QUADRA10X10B
44,TAPACANTO,Brillante 16mm,TAPAC16B
45,DESNIVEL DE PISI,Mate,DESNP
46,UNION H,Mate 3.5mm,HM3
47,PERFIL J,Mate 3.5mm,JM3
48,PERFIL ESQUINERO,Mate 3.5mm,ESM3
49,UNION H,Briellante 3.5mm,HB3
50,PERFIL J,Brillante 3.5mm,JB3
51,PERFIL ESQUINERO,Brillante 3.5mm,ESB3
