id,Categoria,Nombre,Medidas,Codigo
1,Marmol,REDONDA TRAVERTINO,39*15 ,RM3915 
2,Marmol,CUENCO CHICO,33*10 ,CCH3310 
3,Marmol,TULIPAN TRAVERTINO,38*15 ,TU3815 
4,Marmol,OVAL TRAVERTINO,31*41 ,OM3141 
5,Marmol,PIRAMIDAL TRAVERTINO,40*31*14 ,PM403114 
6,Marmol,RECTANGULAR ESCALON CON LONJA,40*40 ,RELON 
1,Simil piedra,REDONDA CHICA,26*14,RCH2614 
2,Simil piedra,REDONDA CON ESCALON,41.5*14.5 ,REDESCAL 
3,Simil piedra,CUENCO STONE,"33,5*14 ",CS33514 
4,Simil piedra,CUENCO TRAVERTINO,"33,5*14 ",CT33514 
5,Simil piedra,OVAL STONE,40*32*14 ,OS403214 
6,Simil piedra,REDONDA TRAVERTINO,"44*16,5 ",RTIL4416 
7,Simil piedra,CIRCULAR STONE,40*14 ,CS4014 
8,Simil piedra,PIRAMIDAL TRAVERTINO,"44*16,5 ",PT32155 
9,Simil piedra,RECTANGULAR TRAVERTINO,38*28*13 ,RT382813 
10,Simil piedra,RECTANGULAR STONE,30*37 ,RS3037 
11,Simil piedra,RECTANGULAR CON ESCALON,40.5*37.5*13.5 ,RE 
12,Simil piedra,OVEL PLANET,46*26*12 ,OVPLA 
13,Simil piedra,CUENCO CON VENECITAS 2,33 cm ,C33V 
14,Simil piedra,CUENCO CON VENECITAS,33 cm ,C33L 
